time x y z vx vy vz 
1000 -27589024.88854562 144273536.3744988 30250.68763504177 -29.78386376464759 3.510827275112092 -0.00897882056687759 
1120 -27592649.87683281 144273955.1871748 30249.61056041446 -30.63014670006023 3.449182845817667 -0.00896933285707768 
1239.999999999999 -27596374.96623281 144274359.4777516 30248.53580366715 -31.44761928909095 3.270304730729714 -0.008939517895268154 
1359.999999999999 -27600195.13981564 144274735.8780716 30247.46610152561 -32.21116987777211 2.987067437332632 -0.00888403081939022 
1479.999999999998 -27604102.73043716 144275072.9439493 30246.40492242313 -32.90206182528735 2.618169775983635 -0.008796435750653541 
1599.999999999998 -27608088.26840613 144275361.6692855 30245.3564519831 -33.50903786554084 2.185024974216067 -0.008671564184774968 
1719.999999999997 -27612141.36851329 144275595.633316 30244.32533589172 -34.02793050960192 1.708886369759383 -0.008507083250986498 
1839.999999999997 -27616251.50503594 144275770.8480215 30243.31630305579 -34.46028748450862 1.208783864462585 -0.008303919819630891 
1959.999999999997 -27620408.59355558 144275885.4160289 30242.33379728394 -34.8116209574185 0.7004234136721843 -0.008065763046186017 
2079.999999999996 -27624603.36452833 144275939.1075274 30241.3817007343 -35.0897470019464 0.1958967682479499 -0.007798112418135989 
2199.999999999997 -27628827.55635176 144275932.9372905 30240.46317733676 -35.30346133141541 -0.296074385464363 -0.007507285605773645 
2319.999999999998 -27633073.97352756 144275868.7895625 30239.58062488598 -35.46161443659689 -0.769623537923896 -0.007199623699755946 
2439.999999999999 -27637336.45592737 144275749.111008 30238.73570634662 -35.57254251007725 -1.221144789819368 -0.006880967714591105 
2560 -27641609.79693106 144275576.6738313 30237.92942866982 -35.64376930125649 -1.648730880509629 -0.006556381316782798 
2680.000000000001 -27645889.63765848 144275354.4015618 30237.16224324953 -35.68189246066061 -2.051695517303022 -0.006230055826161769 
2800.000000000002 -27650172.35500156 144275085.246291 30236.43415021176 -35.69258375264813 -2.430193692145564 -0.00590533114907787 
2920.000000000003 -27654454.95387407 144274772.1058493 30235.74479597004 -35.6806522152587 -2.784933699993381 -0.00558477964724266 
3040.000000000004 -27658734.96906426 144274417.7707474 30235.09355884109 -35.65013667234481 -3.116966336719711 -0.005270316473236343 
3160.000000000005 -27663010.37887188 144274024.892598 30234.47962100705 -35.60440706729852 -3.427535067212208 -0.004963314049483391 
3280.000000000005 -27667279.53082279 144273595.96761 30233.90202713562 -35.54626305831205 -3.717972377337723 -0.004664708589094522 
3400.000000000006 -27671541.07873954 144273133.3303747 30233.35973099168 -35.47802406724021 -3.989630074785569 -0.004375093205063972 
3520.000000000007 -27675793.92997634 144272639.1544699 30232.85163176943 -35.40160844917694 -4.24383397685024 -0.004094796094116854 
3640.000000000008 -27680037.20147714 144272115.457409 30232.37660191436 -35.31860142085922 -4.48185578351805 -0.003823944396796176 
3760.000000000009 -27684270.18334075 144271564.108206 30231.93350806445 -35.23031241422953 -4.704896848913543 -0.003562515324477181 
3880.00000000001 -27688492.30868943 144270986.8363713 30231.52122652447 -35.13782298559634 -4.914080042062161 -0.003310376474120732 
4000.000000000011 -27692703.12878336 144270385.241538 30231.13865445521 -35.04202655385649 -5.110446992648325 -0.003067317233178596 
4120.000000000013 -27696902.2924763 144269760.8031941 30230.78471774188 -34.94366121287998 -5.294958825537514 -0.002833072992381568 
